Date,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA
2020-01-31,74.93374633789062,100.43599700927734,71.37344360351562,200.96286010742188,162.4966583251953,5.885532855987549,43.371334075927734
2020-02-29,66.3387451171875,94.1875,66.65081787109375,191.56715393066406,155.07252502441406,6.726965427398682,44.53266525268555
2020-03-31,61.71084976196289,97.48600006103516,57.866416931152344,166.01756286621094,150.9566192626953,6.565809726715088,34.93333435058594
2020-04-30,71.2990951538086,123.69999694824219,67.11510467529297,203.74972534179688,171.5360107421875,7.280177116394043,52.12533187866211
2020-05-31,77.3662109375,122.11849975585938,71.10919189453125,224.03411865234375,175.8915252685547,8.842917442321777,55.66666793823242
2020-06-30,88.76896667480469,137.9409942626953,70.34730529785156,226.0048370361328,195.33799743652344,9.467203140258789,71.98733520507812
2020-07-31,103.42752075195312,158.23399353027344,73.79845428466797,252.48007202148438,196.77769470214844,10.580613136291504,95.38400268554688
2020-08-31,125.82673645019531,172.54800415039062,81.32380676269531,291.82464599609375,216.9970245361328,13.331485748291016,166.10667419433594
2020-09-30,112.9261703491211,157.43649291992188,73.13360595703125,260.67144775390625,202.37213134765625,13.49101734161377,143.00332641601562
2020-10-31,106.14924621582031,151.8074951171875,80.66841888427734,261.87579345703125,194.8094940185547,12.497426986694336,129.34666442871094
2020-11-30,116.28579711914062,158.40199279785156,87.62199401855469,275.6707458496094,206.50987243652344,13.362395286560059,189.1999969482422
2020-12-31,129.60906982421875,162.84649658203125,87.18106842041016,271.878662109375,214.56494140625,13.020752906799316,235.22332763671875
2021-01-31,128.89601135253906,160.30999755859375,91.35430145263672,257.1181640625,223.7680206298828,12.95567512512207,264.510009765625
2021-02-28,118.6214599609375,154.64649963378906,101.3628921508789,256.4115295410156,224.68951416015625,13.678523063659668,225.1666717529297
2021-03-31,119.49211120605469,154.70399475097656,102.94391632080078,293.14837646484375,227.96734619140625,13.317830085754395,222.64332580566406
2021-04-30,128.59951782226562,173.37100219726562,119.93791198730469,323.5550842285156,243.83421325683594,14.975293159484863,236.47999572753906
2021-05-31,122.10562896728516,161.15350341796875,120.00959014892578,327.1879577636719,241.97445678710938,16.207477569580078,208.4066619873047
2021-06-30,134.20742797851562,172.00799560546875,124.7252426147461,346.07891845703125,262.53961181640625,19.96148681640625,226.56666564941406
2021-07-31,142.9285430908203,166.37950134277344,134.5835418701172,354.6285705566406,276.1171875,19.459020614624023,229.06666564941406
2021-08-31,149.00146484375,173.5395050048828,144.77627563476562,377.6003723144531,293.12347412109375,22.343040466308594,245.24000549316406
2021-09-30,138.8639373779297,164.2519989013672,132.6372528076172,337.7980041503906,273.7425231933594,20.677167892456055,258.49334716796875
